## Hello World             
# label: %title%<br><i style="color:gray;">%text%</i>             
# style: html=1;shape=rectangle;rounded=1;fillColor=%fill%;strokeColor=%fill%             
# namespace: csvimport-             
# connect: {"from":"refs", "to":"id", "invert":true, "style":"curved=0;endArrow=blockThin;endFill=1;"}             
# width: auto             
# height: auto             
# padding: 10             
# ignore: id,fill,refs             
# nodespacing: 10             
# levelspacing: 30             
# edgespacing: 40             
# layout: horizontalflow             
## CSV starts under this line             
id,title,text,fill,refs             
 
1a-1,InputPlaceholder,,#dae8fc,""
1a0,add_gausian_noise,,#dae8fc,"1a-1"
1a8,random_horizontal_flip,,#dae8fc,"1a0"
1a12,random_horizontal_flip,,#dae8fc,"1a8"
1a22,add_gausian_noise,,#dae8fc,"1a12"
1a33,random_horizontal_flip,,#dae8fc,"1a22"
1a40,Output,,#dae8fc,"1a33"
1b-1,InputPlaceholder,,#f8cecc,"1a40"
1b0,ceil_greyscale_norm,,#f8cecc,"1b-1"
1b1,Output,,#f8cecc,"1b0"
1c-1,InputPlaceholder,,#d5e8d4,"1b1"
1c0,res_block,,#d5e8d4,"1c-1"
1c2,sum_func,,#d5e8d4,"1c0,1c0"
1c3,res_block,,#d5e8d4,"1c2"
1c4,conv_block,,#d5e8d4,"1c3"
1c5,max_pool_layer,,#d5e8d4,"1c4"
1c12,avg_pool_layer,,#d5e8d4,"1c5"
1c14,avg_pool_layer,,#d5e8d4,"1c12"
1c18,sum_func,,#d5e8d4,"1c14,1c-1"
1c20,avg_pool_layer,,#d5e8d4,"1c18"
1c100,Output,,#d5e8d4,"1c20"
1END,"Fitness: (0.7743,0.2270141896127429)",,#ffe6cc,"1c100"
2a-1,InputPlaceholder,,#dae8fc,""
2a0,random_noise,,#dae8fc,"2a-1"
2a2,random_horizontal_flip,,#dae8fc,"2a0"
2a3,add_gausian_noise,,#dae8fc,"2a2"
2a8,random_horizontal_flip,,#dae8fc,"2a3"
2a33,add_gausian_noise,,#dae8fc,"2a8"
2a40,Output,,#dae8fc,"2a33"
2b-1,InputPlaceholder,,#f8cecc,"2a40"
2b0,ceil_greyscale_norm,,#f8cecc,"2b-1"
2b1,Output,,#f8cecc,"2b0"
2c-1,InputPlaceholder,,#d5e8d4,"2b1"
2c0,conv_block,,#d5e8d4,"2c-1"
2c2,sum_func,,#d5e8d4,"2c0,2c0"
2c3,res_block,,#d5e8d4,"2c2"
2c4,conv_block,,#d5e8d4,"2c3"
2c5,max_pool_layer,,#d5e8d4,"2c4"
2c25,res_block,,#d5e8d4,"2c5"
2c71,conv_block,,#d5e8d4,"2c25"
2c76,sqeeze_excitation_block,,#d5e8d4,"2c71"
2c100,Output,,#d5e8d4,"2c76"
2END,"Fitness: (0.7706,0.23058132511964113)",,#ffe6cc,"2c100"
3a-1,InputPlaceholder,,#dae8fc,""
3a1,random_horizontal_flip,,#dae8fc,"3a-1"
3a2,add_gausian_noise,,#dae8fc,"3a1"
3a7,add_gausian_noise,,#dae8fc,"3a2"
3a10,random_horizontal_flip,,#dae8fc,"3a7"
3a23,random_horizontal_flip,,#dae8fc,"3a10"
3a40,Output,,#dae8fc,"3a23"
3b-1,InputPlaceholder,,#f8cecc,"3a40"
3b0,ceil_greyscale_norm,,#f8cecc,"3b-1"
3b1,Output,,#f8cecc,"3b0"
3c-1,InputPlaceholder,,#d5e8d4,"3b1"
3c0,conv_block,,#d5e8d4,"3c-1"
3c2,sum_func,,#d5e8d4,"3c0,3c0"
3c3,res_block,,#d5e8d4,"3c2"
3c4,conv_block,,#d5e8d4,"3c3"
3c5,max_pool_layer,,#d5e8d4,"3c4"
3c25,res_block,,#d5e8d4,"3c5"
3c71,conv_block,,#d5e8d4,"3c25"
3c76,sqeeze_excitation_block,,#d5e8d4,"3c71"
3c100,Output,,#d5e8d4,"3c76"
3END,"Fitness: (0.7503,0.2524065179972014)",,#ffe6cc,"3c100"
4a-1,InputPlaceholder,,#dae8fc,""
4a0,add_gausian_noise,,#dae8fc,"4a-1"
4a2,add_gausian_noise,,#dae8fc,"4a0"
4a7,add_gausian_noise,,#dae8fc,"4a2"
4a10,random_horizontal_flip,,#dae8fc,"4a7"
4a23,random_horizontal_flip,,#dae8fc,"4a10"
4a40,Output,,#dae8fc,"4a23"
4b-1,InputPlaceholder,,#f8cecc,"4a40"
4b0,ceil_greyscale_norm,,#f8cecc,"4b-1"
4b1,Output,,#f8cecc,"4b0"
4c-1,InputPlaceholder,,#d5e8d4,"4b1"
4c0,res_block,,#d5e8d4,"4c-1"
4c5,max_pool_layer,,#d5e8d4,"4c-1"
4c6,concat_func,,#d5e8d4,"4c0,4c5"
4c27,avg_pool_layer,,#d5e8d4,"4c6"
4c51,res_block,,#d5e8d4,"4c27"
4c79,conv_block,,#d5e8d4,"4c51"
4c100,Output,,#d5e8d4,"4c79"
4END,"Fitness: (0.75,0.2492529425590756)",,#ffe6cc,"4c100"
5a-1,InputPlaceholder,,#dae8fc,""
5a1,random_horizontal_flip,,#dae8fc,"5a-1"
5a2,add_gausian_noise,,#dae8fc,"5a1"
5a7,add_gausian_noise,,#dae8fc,"5a2"
5a10,random_horizontal_flip,,#dae8fc,"5a7"
5a23,random_horizontal_flip,,#dae8fc,"5a10"
5a40,Output,,#dae8fc,"5a23"
5b-1,InputPlaceholder,,#f8cecc,"5a40"
5b0,ceil_greyscale_norm,,#f8cecc,"5b-1"
5b1,Output,,#f8cecc,"5b0"
5c-1,InputPlaceholder,,#d5e8d4,"5b1"
5c0,conv_block,,#d5e8d4,"5c-1"
5c1,sum_func,,#d5e8d4,"5c0,5c0"
5c19,max_pool_layer,,#d5e8d4,"5c1"
5c23,conv_block,,#d5e8d4,"5c19"
5c29,sum_func,,#d5e8d4,"5c23,5c23"
5c79,conv_block,,#d5e8d4,"5c29"
5c100,Output,,#d5e8d4,"5c79"
5END,"Fitness: (0.7433,0.2574632469798239)",,#ffe6cc,"5c100"
6a-1,InputPlaceholder,,#dae8fc,""
6a1,random_horizontal_flip,,#dae8fc,"6a-1"
6a2,add_gausian_noise,,#dae8fc,"6a1"
6a7,add_gausian_noise,,#dae8fc,"6a2"
6a10,random_horizontal_flip,,#dae8fc,"6a7"
6a23,random_horizontal_flip,,#dae8fc,"6a10"
6a40,Output,,#dae8fc,"6a23"
6b-1,InputPlaceholder,,#f8cecc,"6a40"
6b0,ceil_greyscale_norm,,#f8cecc,"6b-1"
6b1,Output,,#f8cecc,"6b0"
6c-1,InputPlaceholder,,#d5e8d4,"6b1"
6c0,conv_block,,#d5e8d4,"6c-1"
6c1,sum_func,,#d5e8d4,"6c0,6c0"
6c19,max_pool_layer,,#d5e8d4,"6c1"
6c23,conv_block,,#d5e8d4,"6c19"
6c29,sum_func,,#d5e8d4,"6c23,6c23"
6c79,conv_block,,#d5e8d4,"6c29"
6c100,Output,,#d5e8d4,"6c79"
6END,"Fitness: (0.7417,0.2598719057500103)",,#ffe6cc,"6c100"
7a-1,InputPlaceholder,,#dae8fc,""
7a1,random_horizontal_flip,,#dae8fc,"7a-1"
7a2,add_gausian_noise,,#dae8fc,"7a1"
7a7,add_gausian_noise,,#dae8fc,"7a2"
7a10,random_horizontal_flip,,#dae8fc,"7a7"
7a23,random_horizontal_flip,,#dae8fc,"7a10"
7a40,Output,,#dae8fc,"7a23"
7b-1,InputPlaceholder,,#f8cecc,"7a40"
7b0,ceil_greyscale_norm,,#f8cecc,"7b-1"
7b1,Output,,#f8cecc,"7b0"
7c-1,InputPlaceholder,,#d5e8d4,"7b1"
7c0,conv_block,,#d5e8d4,"7c-1"
7c1,sum_func,,#d5e8d4,"7c-1,7c0"
7c19,max_pool_layer,,#d5e8d4,"7c1"
7c23,conv_block,,#d5e8d4,"7c19"
7c29,sum_func,,#d5e8d4,"7c23,7c23"
7c79,conv_block,,#d5e8d4,"7c29"
7c100,Output,,#d5e8d4,"7c79"
7END,"Fitness: (0.7413,0.2630589565730599)",,#ffe6cc,"7c100"
8a-1,InputPlaceholder,,#dae8fc,""
8a0,add_gausian_noise,,#dae8fc,"8a-1"
8a8,random_horizontal_flip,,#dae8fc,"8a0"
8a33,random_horizontal_flip,,#dae8fc,"8a8"
8a40,Output,,#dae8fc,"8a33"
8b-1,InputPlaceholder,,#f8cecc,"8a40"
8b0,ceil_greyscale_norm,,#f8cecc,"8b-1"
8b1,Output,,#f8cecc,"8b0"
8c-1,InputPlaceholder,,#d5e8d4,"8b1"
8c0,conv_block,,#d5e8d4,"8c-1"
8c2,sum_func,,#d5e8d4,"8c0,8c0"
8c3,res_block,,#d5e8d4,"8c2"
8c4,conv_block,,#d5e8d4,"8c3"
8c5,max_pool_layer,,#d5e8d4,"8c4"
8c25,res_block,,#d5e8d4,"8c5"
8c71,conv_block,,#d5e8d4,"8c25"
8c76,sqeeze_excitation_block,,#d5e8d4,"8c71"
8c100,Output,,#d5e8d4,"8c76"
8END,"Fitness: (0.7373,0.2652290342626815)",,#ffe6cc,"8c100"
9a-1,InputPlaceholder,,#dae8fc,""
9a8,add_gausian_noise,,#dae8fc,"9a-1"
9a12,random_horizontal_flip,,#dae8fc,"9a8"
9a13,add_gausian_noise,,#dae8fc,"9a12"
9a40,Output,,#dae8fc,"9a13"
9b-1,InputPlaceholder,,#f8cecc,"9a40"
9b0,ceil_greyscale_norm,,#f8cecc,"9b-1"
9b1,Output,,#f8cecc,"9b0"
9c-1,InputPlaceholder,,#d5e8d4,"9b1"
9c0,conv_block,,#d5e8d4,"9c-1"
9c1,sum_func,,#d5e8d4,"9c-1,9c0"
9c19,max_pool_layer,,#d5e8d4,"9c1"
9c23,conv_block,,#d5e8d4,"9c19"
9c29,sum_func,,#d5e8d4,"9c23,9c23"
9c79,conv_block,,#d5e8d4,"9c29"
9c100,Output,,#d5e8d4,"9c79"
9END,"Fitness: (0.7345,0.26627815554039214)",,#ffe6cc,"9c100"
10a-1,InputPlaceholder,,#dae8fc,""
10a1,random_horizontal_flip,,#dae8fc,"10a-1"
10a2,add_gausian_noise,,#dae8fc,"10a1"
10a7,add_gausian_noise,,#dae8fc,"10a2"
10a10,random_horizontal_flip,,#dae8fc,"10a7"
10a23,random_horizontal_flip,,#dae8fc,"10a10"
10a40,Output,,#dae8fc,"10a23"
10b-1,InputPlaceholder,,#f8cecc,"10a40"
10b0,ceil_greyscale_norm,,#f8cecc,"10b-1"
10b1,Output,,#f8cecc,"10b0"
10c-1,InputPlaceholder,,#d5e8d4,"10b1"
10c0,conv_block,,#d5e8d4,"10c-1"
10c1,sum_func,,#d5e8d4,"10c-1,10c0"
10c19,max_pool_layer,,#d5e8d4,"10c1"
10c23,conv_block,,#d5e8d4,"10c19"
10c29,sum_func,,#d5e8d4,"10c23,10c23"
10c79,conv_block,,#d5e8d4,"10c29"
10c100,Output,,#d5e8d4,"10c79"
10END,"Fitness: (0.7327,0.2697916011868189)",,#ffe6cc,"10c100"
11a-1,InputPlaceholder,,#dae8fc,""
11a1,random_horizontal_flip,,#dae8fc,"11a-1"
11a2,add_gausian_noise,,#dae8fc,"11a1"
11a7,add_gausian_noise,,#dae8fc,"11a2"
11a10,random_horizontal_flip,,#dae8fc,"11a7"
11a23,random_horizontal_flip,,#dae8fc,"11a10"
11a40,Output,,#dae8fc,"11a23"
11b-1,InputPlaceholder,,#f8cecc,"11a40"
11b0,ceil_greyscale_norm,,#f8cecc,"11b-1"
11b1,Output,,#f8cecc,"11b0"
11c-1,InputPlaceholder,,#d5e8d4,"11b1"
11c0,conv_block,,#d5e8d4,"11c-1"
11c1,sum_func,,#d5e8d4,"11c-1,11c0"
11c19,max_pool_layer,,#d5e8d4,"11c1"
11c23,conv_block,,#d5e8d4,"11c19"
11c29,sum_func,,#d5e8d4,"11c23,11c23"
11c79,conv_block,,#d5e8d4,"11c29"
11c100,Output,,#d5e8d4,"11c79"
11END,"Fitness: (0.7211,0.281751220835214)",,#ffe6cc,"11c100"
12a-1,InputPlaceholder,,#dae8fc,""
12a0,random_noise,,#dae8fc,"12a-1"
12a2,random_horizontal_flip,,#dae8fc,"12a0"
12a3,add_gausian_noise,,#dae8fc,"12a2"
12a8,random_horizontal_flip,,#dae8fc,"12a3"
12a33,add_gausian_noise,,#dae8fc,"12a8"
12a40,Output,,#dae8fc,"12a33"
12b-1,InputPlaceholder,,#f8cecc,"12a40"
12b0,ceil_greyscale_norm,,#f8cecc,"12b-1"
12b1,Output,,#f8cecc,"12b0"
12c-1,InputPlaceholder,,#d5e8d4,"12b1"
12c0,conv_block,,#d5e8d4,"12c-1"
12c2,sum_func,,#d5e8d4,"12c0,12c0"
12c3,res_block,,#d5e8d4,"12c2"
12c4,conv_block,,#d5e8d4,"12c3"
12c5,max_pool_layer,,#d5e8d4,"12c4"
12c25,res_block,,#d5e8d4,"12c5"
12c71,conv_block,,#d5e8d4,"12c25"
12c76,sqeeze_excitation_block,,#d5e8d4,"12c71"
12c100,Output,,#d5e8d4,"12c76"
12END,"Fitness: (0.7206,0.28092566387399187)",,#ffe6cc,"12c100"
