Gen 0 Scatter: 0.006295, Gather: 0.000722, Run: 1289.349983, Select: 0.000001
Gen 1 Scatter: 0.006598, Gather: 0.000679, Run: 795.526398, Select: 0.000001
Gen 2 Scatter: 0.006403, Gather: 0.000699, Run: 3498.481183, Select: 0.000001
Gen 5 Scatter: 0.005764, Gather: 0.000591, Run: 4575.349940, Select: 0.000001
Gen 6 Scatter: 0.005653, Gather: 0.000687, Run: 159.921551, Select: 0.000001
Gen 9 Scatter: 0.005972, Gather: 0.000620, Run: 443.603796, Select: 0.000001
Gen 7 Scatter: 0.005799, Gather: 0.000600, Run: 1441.722508, Select: 0.000001
Gen 8 Scatter: 0.015100, Gather: 0.000610, Run: 16606.585695, Select: 0.000001
Gen 9 Scatter: 0.005540, Gather: 0.000658, Run: 26.789281, Select: 0.000001
Gen 10 Scatter: 0.005322, Gather: 0.000525, Run: 65.643319, Select: 0.000001
Gen 9 Scatter: 0.006007, Gather: 0.000651, Run: 443.783696, Select: 0.000001
Gen 10 Scatter: 0.005866, Gather: 0.000671, Run: 431.084059, Select: 0.000001
Gen 11 Scatter: 0.005826, Gather: 0.000683, Run: 1068.178012, Select: 0.000001
Gen 12 Scatter: 0.005704, Gather: 0.000643, Run: 3339.280350, Select: 0.000001
